src_sample_id,src_cohort,src_label_target,src_binary_label,src_tool_or_builder,src_evidence_level,src_deployment_check_status,src_training_gate,src_url_group,requested_url,scan_ok,scan_error,final_url,scheme,hostname,status_code,redirect_count,response_ms,html_bytes,html_sha256,content_type,server_header,x_powered_by,cache_control,title_len,meta_generator,meta_description_len,canonical_count,jsonld_count,og_tag_count,script_tag_count,stylesheet_count,manifest_link_count,inline_script_bytes,inline_style_bytes,html_comment_count,element_count,h1_count,button_count,form_count,class_token_count,unique_class_token_count,id_count,data_attr_count,unique_data_attr_count,hosting_lovable_app_flag,hosting_replit_app_flag,hosting_vercel_app_flag,hosting_netlify_app_flag,header_x_vercel_id_flag,header_x_nf_request_id_flag,header_cf_ray_flag,header_x_render_origin_server_flag,header_x_replit_user_id_flag,utility_class_count,utility_class_ratio,rounded_class_count,gradient_class_count,shadow_class_count,arbitrary_value_class_count,data_slot_count,data_component_id_count,same_origin_js_fetched,same_origin_css_fetched,js_bytes_scanned,css_bytes_scanned,js_sourcemap_markers,hashed_asset_name_count,asset_fetch_errors,builder_lovable_hits,builder_lovable_flag,builder_bolt_hits,builder_bolt_flag,builder_v0_hits,builder_v0_flag,builder_replit_hits,builder_replit_flag,builder_base44_hits,builder_base44_flag,tech_nextjs_hits,tech_nextjs_flag,tech_nuxt_hits,tech_nuxt_flag,tech_astro_hits,tech_astro_flag,tech_svelte_hits,tech_svelte_flag,tech_angular_hits,tech_angular_flag,tech_vue_hits,tech_vue_flag,tech_react_hits,tech_react_flag,tech_vite_hits,tech_vite_flag,tech_tanstack_start_hits,tech_tanstack_start_flag,tech_tailwind_hits,tech_tailwind_flag,tech_radix_hits,tech_radix_flag,tech_lucide_hits,tech_lucide_flag,tech_framer_motion_hits,tech_framer_motion_flag,tech_supabase_hits,tech_supabase_flag,tech_firebase_hits,tech_firebase_flag,tech_clerk_hits,tech_clerk_flag,tech_wordpress_hits,tech_wordpress_flag,tech_webflow_hits,tech_webflow_flag,tech_framer_site_hits,tech_framer_site_flag,tech_wix_hits,tech_wix_flag,tech_squarespace_hits,tech_squarespace_flag,tech_shadcn_compound_flag,robots_status,robots_bytes,robots_has_sitemap,sitemap_status,sitemap_bytes,manifest_status,manifest_bytes,resolved_ip_count,has_ipv6,tls_subject_cn,tls_issuer_org,tls_not_after,rule_score,rule_score_reasons
AIN-0001,AI_NATIVE,AI_NATIVE_BUILDER,AI,Lovable,AI_GOLD_1,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,challengebrew.com,https://challengebrew.com,1,,https://challengebrew.com,https,challengebrew.com,200,0,612.32,13939,9d325b98bde857c82720b227de36cdbed740691c4e4f3f534c22cf9812167f26,text/html; charset=utf-8,cloudflare,,"no-cache, must-revalidate, max-age=0",52,,87,1,2,6,2,1,0,2659,3857,2,55,0,1,0,1,1,7,2,2,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2,1,371296,163107,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,7,1,0,0,1088,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,256,1,200,2935,0,0,1,0,challengebrew.com,Google Trust Services,Oct 27 13:14:58 2026 GMT,32,direct lovable artifacts +30; Tailwind+Radix weak +2
AIN-0002,AI_NATIVE,AI_NATIVE_BUILDER,AI,Lovable,AI_GOLD_1,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,evebcn.com,https://evebcn.com,1,,https://evebcn.com,https,evebcn.com,200,0,2036.56,51416,22c6874727933a50f70e3627fad4eab00f1b13860076b60a984f1832181febba,text/html; charset=utf-8,Netlify,,no-cache,64,,172,1,2,7,1,1,0,11626,0,12,372,1,1,0,1168,296,20,2,2,0,0,0,0,0,1,0,0,0,917,0.7851,6,4,1,64,0,0,1,1,350000,111666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,17,1,0,0,1064,1,14,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,700,1,200,7136,0,0,1,0,evebcn.com,Let's Encrypt,Oct 18 19:43:47 2026 GMT,3,Tailwind+Radix weak +2; high utility-class ratio +1
AIN-0003,AI_NATIVE,AI_NATIVE_BUILDER,AI,Lovable,AI_GOLD_1,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,podprime.ai,https://podprime.ai,1,,https://podprime.ai,https,podprime.ai,200,0,213.26,2771,9852b9b4c71b4a393338b7344da686aa76527209899b052f6e28e15fe1b6c445,text/html; charset=utf-8,cloudflare,,"no-cache, must-revalidate, max-age=0",48,,134,0,2,6,2,1,0,720,0,0,26,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2,1,371296,69588,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,3,1,0,0,626,1,45,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,541,1,200,608,0,0,1,0,podprime.ai,Google Trust Services,Sep 15 21:44:08 2026 GMT,37,direct lovable artifacts +35; Tailwind+Radix weak +2
AIN-0004,AI_NATIVE,AI_NATIVE_BUILDER,AI,Lovable,AI_GOLD_1,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,kraflio.com,https://kraflio.com,1,,https://kraflio.com,https,kraflio.com,200,0,16171.61,96952,d7f51e998edc88561697ff3e5f87540ce11fbfc36797eb6d583a925ef8da6f0f,text/html; charset=utf-8,cloudflare,,"no-cache, must-revalidate",62,,153,1,1,8,6,1,1,10028,0,9,743,1,21,0,2565,478,27,44,4,0,0,0,0,0,0,1,0,0,2379,0.9275,109,13,28,183,0,0,6,1,596978,154296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,7,1,0,0,839,1,0,0,0,0,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,551,1,200,5767,200,397,4,1,kraflio.com,Google Trust Services,Oct 18 16:56:09 2026 GMT,1,high utility-class ratio +1
AIN-0005,AI_NATIVE,AI_NATIVE_BUILDER,AI,Lovable,AI_GOLD_1,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,lovable.app,https://product-vision-log.lovable.app,1,,https://product-vision-log.lovable.app,https,product-vision-log.lovable.app,200,0,16388.97,11081,a7ee6ea1642f21165c9a3f5b445a139b11b02d75a66c88a4aadfcbb34b456efe,text/html,cloudflare,,"no-cache, must-revalidate, max-age=0",41,,117,0,0,4,2,2,0,799,3857,0,42,0,1,0,1,1,7,1,1,1,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2,1,371296,73340,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,4,1,0,0,826,1,45,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,160,0,0,0,0,0,4,1,lovable.app,Google Trust Services,Sep 12 20:53:58 2026 GMT,77,direct lovable artifacts +45; lovable.app deployment +30; Tailwind+Radix weak +2
AIN-0006,AI_NATIVE,AI_NATIVE_BUILDER,AI,Lovable,AI_GOLD_1,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,lovable.app,https://creativable-de.lovable.app,1,,https://creativable.de/,https,creativable.de,200,1,32421.31,5241,12a22434f5a1f4ef68777d1b7032ad6622fdb3abf67b93c797a0747888191222,text/html; charset=utf-8,cloudflare,,"no-cache, must-revalidate, max-age=0",47,,142,1,0,9,2,3,1,0,0,12,55,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2,1,371296,244812,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,3449,1,34,1,34,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,205,1,200,1232,200,263,4,1,creativable.de,Google Trust Services,Sep 28 22:15:46 2026 GMT,42,direct lovable artifacts +40; Tailwind+Radix weak +2
AIN-0007,AI_NATIVE,AI_NATIVE_BUILDER,AI,Lovable,AI_GOLD_1,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,lovable.app,https://thestoryline.lovable.app,1,,https://thestoryline.lovable.app,https,thestoryline.lovable.app,200,0,16312.5,11776,bdaf423fb9c1c0ed2fc49e486f66f1b1f26ed69c9170a54499f0610507cbfd12,text/html,cloudflare,,"no-cache, must-revalidate, max-age=0",63,,152,0,0,4,2,2,0,799,3857,4,45,0,1,0,0,0,7,1,1,1,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2,1,371296,70770,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,4,1,0,0,745,1,45,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,160,0,0,0,0,0,4,1,lovable.app,Google Trust Services,Sep 12 20:53:58 2026 GMT,67,direct lovable artifacts +35; lovable.app deployment +30; Tailwind+Radix weak +2
AIN-0008,AI_NATIVE,AI_NATIVE_BUILDER,AI,Bolt,AI_GOLD_1,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,prilo.ai,https://prilo.ai,1,,https://www.prilo.ai/,https,www.prilo.ai,200,1,648.31,5789,39f62c8f17776bdfa3af887434183e150970af348314303ee490bcbd09221760,text/html; charset=utf-8,cloudflare,,"public, max-age=0, s-maxage=300",55,,152,0,4,0,4,1,0,4203,0,1,23,0,0,0,0,0,1,3,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1,1,350000,144382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,3,1,0,0,2622,1,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,226,1,200,52711,200,5789,2,0,www.prilo.ai,Google Trust Services,Sep 17 18:02:38 2026 GMT,0,
AIN-0009,AI_NATIVE,AI_NATIVE_BUILDER,AI,Bolt,AI_GOLD_1,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,eden.pm,https://eden.pm,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIN-0010,AI_NATIVE,AI_NATIVE_BUILDER,AI,Bolt,AI_GOLD_1,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,siamferry.com,https://siamferry.com,1,,https://siamferry.com,https,siamferry.com,200,0,16173.9,2168,c519561b4db57816fa9aa070cea275796e8106f7f9b311e1156591866dbfb422,text/html; charset=utf-8,cloudflare,,"public, max-age=0, must-revalidate",39,,120,0,0,5,1,1,0,0,0,2,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1,1,350000,55315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,4,1,0,0,520,1,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,518,1,200,2465,200,2168,4,1,siamferry.com,Google Trust Services,Oct  6 17:40:31 2026 GMT,0,
